Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
f9fed45c-a11b-60ce-21f5-18573f43e43d,2001-01-23,,999-97-7295,S99931414,X4413788X,Mr.,Riley817,Gislason620,,,,white,hispanic,M,Stockton  California  US,532 Jenkins Neck Apt 98,Hawaiian Gardens,California,Los Angeles County,6059,90630,33.797332443673184,-118.07701398326365,1764.16,85581.40,16045
6e99dcce-b24c-bf6f-8e4a-93bbcd286ec4,1983-01-03,,999-21-3729,S99927332,X52800232X,Mr.,Jamey282,Pfannerstill264,,,W,white,nonhispanic,M,San Diego Country Estates  California  US,714 Mills Pathway Suite 68,Los Angeles,California,Los Angeles County,6037,90058,33.929978622987115,-118.27382251729618,23398.09,45693.92,24442
8842ad59-b185-c6ce-871a-dcdcf111757a,2021-04-07,,999-67-4381,,,,Quinn173,Runolfsson901,,,,white,nonhispanic,F,El Centro  California  US,123 Bashirian Corner,Los Angeles,California,Los Angeles County,6037,91405,34.3105080141637,-118.57036115259388,5053.16,6286.68,66755
d0c2d7e5-2e4a-5d6a-cd68-70824b671847,2000-03-22,,999-10-2867,S99945644,X21338348X,Mr.,Carroll471,Reichert620,,,,white,nonhispanic,M,Murrieta  California  US,1060 Gutmann Extension,Los Angeles,California,Los Angeles County,6037,90031,34.20726745932843,-118.33324463084126,4750.00,54852.42,15662
42bf13d8-30b7-23dd-0bab-338a9e445071,2013-11-01,,999-20-8605,,,,Cornell131,Hoppe518,,,,other,hispanic,M,Avocado Heights  California  US,673 Crona Promenade Suite 97,Yorba Linda,California,Orange County,6059,92870,33.848635440352936,-117.81431359180462,32442.56,19233.60,146580
2ff08daa-b380-59b7-fe49-bd1febee9d6a,1983-10-04,,999-71-2115,S99980671,X34116471X,Mrs.,Justa309,Quigley282,,Hahn503,M,white,nonhispanic,F,San Diego  California  US,800 Jast Port,San Pablo,California,Contra Costa County,6013,94805,37.87288629947254,-122.3554888325059,939671.37,446163.01,39622
e5f57fb4-59c0-08f7-be3b-6e6b6557a81c,2012-03-17,,999-99-4973,,,,Lora418,Nienow652,,,,white,nonhispanic,F,Costa Mesa  California  US,636 Hermiston Run Suite 76,South San Francisco,California,San Mateo County,6081,94005,37.70485444341003,-122.3781437914904,36589.92,266768.10,459477
678f305b-4a9e-5753-daa1-a9ccd5b8466d,1972-10-16,,999-15-7243,S99977523,X51642850X,Mrs.,Virgina372,Lubowitz58,,Schowalter414,M,white,hispanic,F,Daly City  California  US,424 Heaney Burg Apt 70,Brentwood,California,Contra Costa County,6013,94513,37.965206018619554,-121.69464048221097,200288.99,708166.39,826585
4d7dbb8a-391d-6298-c8ad-ae73dba63cc1,1974-10-15,,999-34-7414,S99930276,X51595004X,Mrs.,Stephine916,Gleason633,,Schulist381,M,asian,nonhispanic,F,Victorville  California  US,157 Doyle Mall Apt 28,San Clemente,California,Orange County,6059,92672,33.41897956580279,-117.63123948979087,142036.74,554360.34,185545
a828a285-8e38-3803-b3da-0d6e44f5c51c,1959-01-14,,999-89-5771,S99912395,X645483X,Mrs.,Cayla360,Murazik203,,Cremin516,M,white,hispanic,F,San Jose  California  US,209 Okuneva Bridge,San Bernardino,California,San Bernardino County,6071,92404,34.15219364862785,-117.32732537092109,16369.97,1380110.12,20122
450b11fc-1417-b354-4f02-985099e4b2e9,2020-05-21,,999-81-7588,,,,Eduardo902,Keeling57,,,,white,nonhispanic,M,Petaluma  California  US,433 Will Highlands,Los Angeles,California,Los Angeles County,6037,90043,34.07055290348043,-118.18892363528369,10672.93,2066.52,706644
67a5ee97-39fc-2a96-f9fe-ed44c3ec6d33,1977-07-06,,999-24-5858,S99978017,X63231138X,Ms.,Ilana185,Gislason620,,,S,native,nonhispanic,F,Valley Springs  California  US,343 Paucek Gate,San Diego,California,San Diego County,6073,92145,32.72773557955506,-117.16883879150403,18703.86,827169.13,3151
9fcd7ebf-cee0-083a-e28e-f9ae06f3fb93,1940-02-14,2018-08-26,999-70-8465,S99976869,X53872947X,Mrs.,Tyra356,Rippin620,,Connelly992,M,white,hispanic,F,San Jose  California  US,228 Kuhlman Fort Suite 28,Rialto,California,San Bernardino County,6071,92410,34.11527618586548,-117.36851370264833,528589.76,1416185.37,24020
