Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,SUBURB,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
f9fed45c-a11b-60ce-21f5-18573f43e43d,2001-01-23,,999-97-7295,S99931414,X4413788X,Mr.,Riley817,Gislason620,,,,white,Other,M,Stockton  California  US,532 Jenkins Neck Apt 98,East Gippsland,Victoria,Double Bridges,6059.0,3893,-37.495349,147.866067,1764.16,85581.4,16045
6e99dcce-b24c-bf6f-8e4a-93bbcd286ec4,1983-01-03,,999-21-3729,S99927332,X52800232X,Mr.,Jamey282,Pfannerstill264,,,W,white,Other,M,San Diego Country Estates  California  US,714 Mills Pathway Suite 68,Gannawarra,Victoria,Koondrook,6037.0,3580,-35.639761,144.094672,23398.09,45693.92,24442
8842ad59-b185-c6ce-871a-dcdcf111757a,2021-04-07,,999-67-4381,,,,Quinn173,Runolfsson901,,,,white,Other,F,El Centro  California  US,123 Bashirian Corner,Swan Hill,Victoria,Pira,6037.0,3585,-35.348388,143.336906,5053.16,6286.68,66755
d0c2d7e5-2e4a-5d6a-cd68-70824b671847,2000-03-22,,999-10-2867,S99945644,X21338348X,Mr.,Carroll471,Reichert620,,,,white,Other,M,Murrieta  California  US,1060 Gutmann Extension,Bass Coast,Victoria,Lang Lang,6037.0,3984,-38.312647,145.563979,4750.0,54852.42,15662
42bf13d8-30b7-23dd-0bab-338a9e445071,2013-11-01,,999-20-8605,,,,Cornell131,Hoppe518,,,,other,Other,M,Avocado Heights  California  US,673 Crona Promenade Suite 97,Hepburn,Victoria,Korweinguboora,6059.0,3461,-37.287848,144.170995,32442.56,19233.6,146580
2ff08daa-b380-59b7-fe49-bd1febee9d6a,1983-10-04,,999-71-2115,S99980671,X34116471X,Mrs.,Justa309,Quigley282,,Hahn503,M,white,Other,F,San Diego  California  US,800 Jast Port,Wellington,Victoria,Walpa,6013.0,3875,-37.826032,147.63201,939671.37,446163.01,39622
e5f57fb4-59c0-08f7-be3b-6e6b6557a81c,2012-03-17,,999-99-4973,,,,Lora418,Nienow652,,,,white,Other,F,Costa Mesa  California  US,636 Hermiston Run Suite 76,Queenscliffe,Victoria,Ocean Grove,6081.0,3226,-38.263811,144.523761,36589.92,266768.1,459477
678f305b-4a9e-5753-daa1-a9ccd5b8466d,1972-10-16,,999-15-7243,S99977523,X51642850X,Mrs.,Virgina372,Lubowitz58,,Schowalter414,M,white,Other,F,Daly City  California  US,424 Heaney Burg Apt 70,Colac Otway,Victoria,Dreeite,6013.0,3249,-38.388291,143.557159,200288.99,708166.39,826585
4d7dbb8a-391d-6298-c8ad-ae73dba63cc1,1974-10-15,,999-34-7414,S99930276,X51595004X,Mrs.,Stephine916,Gleason633,,Schulist381,M,asian,Other,F,Victorville  California  US,157 Doyle Mall Apt 28,Wellington,Victoria,Sarsfield,6059.0,3875,-37.826032,147.63201,142036.74,554360.34,185545
a828a285-8e38-3803-b3da-0d6e44f5c51c,1959-01-14,,999-89-5771,S99912395,X645483X,Mrs.,Cayla360,Murazik203,,Cremin516,M,white,Other,F,San Jose  California  US,209 Okuneva Bridge,Gannawarra,Victoria,Koroop,6071.0,3579,-35.767974,143.769445,16369.97,1380110.12,20122
450b11fc-1417-b354-4f02-985099e4b2e9,2020-05-21,,999-81-7588,,,,Eduardo902,Keeling57,,,,white,Other,M,Petaluma  California  US,433 Will Highlands,Wangaratta,Victoria,Moyhu,6037.0,3732,-36.686814,146.313751,10672.93,2066.52,706644
67a5ee97-39fc-2a96-f9fe-ed44c3ec6d33,1977-07-06,,999-24-5858,S99978017,X63231138X,Ms.,Ilana185,Gislason620,,,S,native,Other,F,Valley Springs  California  US,343 Paucek Gate,Gawler,Victoria,Kangaroo Flat,6073.0,5118,-34.58378,138.705675,18703.86,827169.13,3151
9fcd7ebf-cee0-083a-e28e-f9ae06f3fb93,1940-02-14,2018-08-26,999-70-8465,S99976869,X53872947X,Mrs.,Tyra356,Rippin620,,Connelly992,M,white,Other,F,San Jose  California  US,228 Kuhlman Fort Suite 28,Unincorporated Vic,Victoria,Modella,6071.0,3816,-38.043542,145.787991,528589.76,1416185.37,24020
e30a58cb-25cb-1216-8be7-26f07ca8d968,1987-01-01,,999-42-8383,S99923761,X52274770X,Mrs.,Trinh357,Feil794,,Dare640,M,native,Other,F,Ridgecrest  California  US,925 Hansen Dam,Buloke,Victoria,Cope Cope,6059.0,3480,-36.31227,142.968057,133817.23,1992923.37,34054
825e4dac-8d74-c7f6-d577-a1dac0540281,1988-05-20,,999-93-3666,S99911930,X54717218X,Ms.,Mammie808,Weber641,,,S,white,Other,F,East Porterville  California  US,1037 Ryan Avenue,Wodonga,Victoria,Barnawartha North,6111.0,3691,-36.08708986,146.7480309,122832.55,174860.24,82894
c02d895b-bfe1-0746-052f-4a9a8b2c6851,2022-12-21,,999-51-5456,,,,Long300,Larson43,,,,white,Other,M,Los Angeles  California  US,174 Collins Port,Golden Plains,Victoria,Foxhow,6037.0,3323,-38.026314,143.520934,6260.44,0.0,55496
f5502975-21b1-6a26-00ba-0479ee7013f1,1963-01-05,,999-22-4042,S99999087,X57863642X,Ms.,Deeann517,Predovic534,,,S,black,Other,F,Fremont  California  US,529 Wolff Approach Apt 90,Moira,Victoria,Cobram,6085.0,3644,-35.945353,145.632682,502350.3,2266652.26,171188
33be06be-326c-ba46-ab28-bf0b6e61b6cc,1993-02-09,,999-72-4929,S99913295,X64119619X,Mr.,Gonzalo160,Estrada938,,,M,white,Other,M,San Jose  San Jose  CR,383 Corkery Street,Southern Grampians,Victoria,Coleraine,6037.0,3315,-37.408371,141.687516,68256.74,41292.59,101868
45c20659-aac3-fae5-dc23-b6f51f53ca71,1999-07-24,,999-68-8711,S99989226,X37828654X,Mr.,Miguel Ángel46,Moya426,,,,white,Other,M,Kingston  Kingston  JM,709 Fadel Track Unit 60,Pyrenees,Victoria,Lake Goldsmith,6029.0,3373,-37.457785,143.343429,16125.46,546897.48,23978
c5aae17c-1c3e-f426-0637-332b1e75f17b,2006-07-30,,999-86-7356,S99991588,,,Jerri638,Labadie908,,,,white,Other,F,Pinole  California  US,946 Cronin Well,Swan Hill,Victoria,Nyah West,6037.0,3595,-35.202752,143.351682,65547.55,0.0,73103
97d56f10-7790-28c7-214d-0d9b56680a9a,1970-07-20,1988-07-02,999-97-1581,S99959084,,,Ellis535,Hammes673,,,,white,Other,M,Los Angeles  California  US,371 Hilpert Station,Charles Sturt,Victoria,Seaton,6085.0,5023,-34.90073,138.51199,33671.03,25.66,901575
9e7c8b87-9d7b-76a7-afb1-1fd7e326641e,2003-03-14,,999-80-3049,S99976534,X18492774X,Mr.,Marcus77,Miller503,,,,white,Other,M,Santa Monica  California  US,640 Christiansen Branch,Hepburn,Victoria,Sailors Hill,6037.0,3461,-37.287848,144.170995,7419.91,30755.24,24947
0f741711-892c-0624-43a6-8cbd6ee67af1,2008-10-05,,999-96-3969,,,,Winter723,Heller342,,,,white,Other,F,El Dorado Hills  California  US,899 Koepp Viaduct Unit 14,Southern Grampians,Victoria,Hilgay,,3315,-37.408371,141.687516,24889.23,0.0,133752
9f6db08f-a67e-9a01-6287-6a8edfa5ada0,2007-05-14,,999-59-5384,S99959397,,,Morgan564,Kris249,,,,white,Other,F,Fortuna  California  US,1009 Dibbert Extension Apt 23,Unknown,Victoria,McCrae,6059.0,0,0.0,0.0,22783.58,16074.3,110980
395b303a-57b6-4aa2-381d-5ee153e9642c,1992-08-10,,999-44-5920,S99935059,X1568366X,Mr.,Danny396,Heathcote539,,,M,white,Other,M,Los Angeles  California  US,622 Green Parade Unit 93,Corangamite,Victoria,Tandarook,6001.0,3260,-38.209584,143.244766,32533.98,0.0,166731
ce886c7c-f03e-d006-c21f-065430fb8ef0,2011-04-19,,999-15-9442,,,,Mahalia897,Funk324,,,,white,Other,F,Los Angeles  California  US,958 Considine Key,Towong,Victoria,Lucyvale,6059.0,3691,-36.027154,147.880991,19793.67,0.0,106253
f7cdecf1-0f43-1113-a649-0fd338778f1f,1966-03-21,,999-61-2992,S99915239,X22096780X,Mrs.,Brenna468,Dach178,,DuBuque211,M,white,Other,F,San Francisco  California  US,334 Cartwright Promenade,Mitchell,Victoria,Glenhope East,6059.0,3522,-37.07349322,144.7011112,1586815.2,983582.3,97274
b2b0467c-63d9-bc13-9534-367cbcc5e7e2,2019-06-12,,999-55-1228,,,,Merrilee429,Kohler843,,,,black,Other,F,Antioch  California  US,620 Ryan Key,Break O'Day,Victoria,Fingal,6065.0,7214,-41.600719,147.897402,10859.28,6506.18,62060
72231aa6-c6aa-d477-e2d9-e8be1bd72071,1963-03-25,,999-66-2701,S99926768,X2251238X,Mrs.,Sanda877,Abshire638,,Dooley940,M,white,Other,F,Fresno  California  US,760 Stiedemann Viaduct Suite 46,Campaspe,Victoria,Koyuga,6013.0,3622,-36.231961,144.87573,398549.95,2480997.36,25298
