id_patient,redcap_repeat_instrument,redcap_repeat_instance,birthdate_patient,deathdate_patient,ssn_patient,drivers_patient,passport_patient,prefix_patient,first_patient,last_patient,suffix_patient,maiden_patient,marital_patient,race_patient,ethnicity_patient,gender_patient,birthplace_patient,address_patient,city_patient,state_patient,fips_patient,county_patient,zip_patient,lat_patient,lon_patient,healthcare_expenses_patient,healthcare_coverage_patient,income_patient,patients_complete,start_medication,stop_medication,payer_medication,encounter_medication,code_medication,description_medication,base_cost_medication,payer_coverage_medication,dispenses_medication,totalcost_medication,reasoncode_medication,reasondescription_medication,medications_complete,start_condition,stop_condition,encounter_condition,code_condition,description_condition,conditions_complete
678f305b-4a9e-5753-daa1-a9ccd5b8466d,,,1972-10-16,,999-15-7243,S99982023,X64406019X,Mrs.,Virgina372,Kling921,,Schowalter414,1,white,Other,2,Watertown  Massachusetts  US,424 Heaney Burg Apt 70,Moyne,Victoria,,Ripponlea,3301.0,-38.118855,142.034141,169533.14,680485.08,826585.0,0,,,,,,,,,,,,,,,,,,,
d527db9b-c3a6-b5b1-2128-7abc78abcd12,,,1962-08-23,,999-44-7280,S99989690,X8899714X,Ms.,Verona337,Crooks415,,,2,white,Other,2,Boxford  Massachusetts  US,721 D'Amore Burg,Hepburn,Victoria,25017.0,East Melbourne,3364.0,-37.334655,143.907186,814067.18,965576.41,35379.0,0,,,,,,,,,,,,,,,,,,,
4a68716d-2bc5-9718-8dc3-02688af77bbc,,,1931-10-07,,999-35-7605,S99941394,X71895056X,Mr.,Brice635,Bergstrom287,,,1,white,Other,1,Boylston  Massachusetts  US,1068 Wiza Harbor,Unincorporated Vic,Victoria,25021.0,Albert Park,3821.0,-37.919937,145.945214,127457.42,152245.54,93333.0,0,,,,,,,,,,,,,,,,,,,
7a09be1d-10f6-b662-a1a1-af1dd86d225d,,,1940-02-14,2014-12-22,999-89-4341,S99990347,X89934391X,Mrs.,Lanie389,Kihn564,,Sawayn19,1,white,Other,2,Lowell  Massachusetts  US,725 Wilderman Junction,Horsham,Victoria,25001.0,Fitzroy North,3409.0,-36.84799315,141.9194993,265988.18,1101972.5,24020.0,0,,,,,,,,,,,,,,,,,,,
a54f5cdc-154d-2b6c-92ad-5b7352c1cb93,,,1974-04-16,,999-38-3844,S99920324,X41748307X,Mr.,Sol312,Rodriguez71,,,1,black,Other,1,Worcester  Massachusetts  US,574 Gerhold Skyway,Swan Hill,Victoria,25021.0,Burnley,3489.0,-35.332477,142.425302,119885.45,735233.5,179371.0,0,,,,,,,,,,,,,,,,,,,
cdc02ac9-46de-371c-0100-f0a6a2e11482,,,1940-02-14,,999-83-3525,S99920251,X70556293X,Ms.,Shirely692,Friesen796,,,2,white,Other,2,Fall River  Massachusetts  US,978 Mueller Crossroad Suite 40,Townsville,Victoria,25001.0,Port Melbourne,4818.0,-19.27139928,146.7141039,363213.5,1861175.95,24020.0,0,,,,,,,,,,,,,,,,,,,
5f9f9df4-cdd4-5fe0-48da-6cc2a749f691,,,1923-07-27,2010-08-26,999-39-1559,S99932412,X79328993X,Mrs.,Olene159,Blick895,,Hartmann983,1,white,Other,2,Middleton  Massachusetts  US,964 Price Pathway,Greater Bendigo,Victoria,25025.0,South Yarra,3570.0,-36.515303,144.28053,828953.42,399336.35,90394.0,0,,,,,,,,,,,,,,,,,,,
395b303a-57b6-4aa2-381d-5ee153e9642c,,,1942-08-23,,999-44-5920,S99942419,X33573133X,Mr.,Danny396,Heathcote539,,,2,white,Other,1,Boston  Massachusetts  US,622 Green Parade Unit 93,Indigo,Victoria,25017.0,Docklands,3682.0,-36.174271,146.428656,161098.3,978238.07,166731.0,0,,,,,,,,,,,,,,,,,,,
b06e8615-ea4a-a025-3dbf-f0b8cf5802d8,,,1964-07-17,,999-40-4848,S99918556,X65989340X,Mr.,Earnest658,Bergstrom287,,,1,white,Other,1,Uxbridge  Massachusetts  US,442 Gibson Gateway Suite 97,Banyule,Victoria,25017.0,St Kilda West,3094.0,-37.719759,145.124727,10979.03,230494.71,16854.0,0,,,,,,,,,,,,,,,,,,,
7018a61a-b213-7793-1572-a3d6cb5a82b5,,,1950-07-12,,999-50-6485,S99993432,X47162233X,Mr.,Johnnie679,Morar593,,,1,white,Other,1,Haverhill  Massachusetts  US,122 Treutel Crossing Unit 32,Golden Plains,Victoria,25009.0,Abbotsford,3351.0,-37.758248,143.637463,490181.01,373187.18,69014.0,0,,,,,,,,,,,,,,,,,,,
21b6d0a9-a2c7-b563-3895-988a4ca6b31e,,,1955-04-07,,999-38-8289,S99919847,X31770178X,Mr.,Cesar434,Green467,,,1,white,Other,1,Cambridge  Massachusetts  US,114 Howell Lane Unit 57,Mount Alexander,Victoria,,Fitzroy,3451.0,-37.125338,144.21419,106821.93,88392.47,69397.0,0,,,,,,,,,,,,,,,,,,,
a01c35c2-b4ce-d0d6-45b1-0f1d35d745dd,,,1975-07-17,,999-21-6770,S99962002,X1845278X,Mr.,Ramiro608,Klocko335,,,1,white,Other,1,Marshfield  Massachusetts  US,127 Ankunding Center,West Wimmera,Victoria,25017.0,Fitzroy,3318.0,-37.025316,141.269571,39629.85,76383.89,118329.0,0,,,,,,,,,,,,,,,,,,,
f7d396b5-7c4f-371c-14ad-7f2433c706ec,,,1947-01-17,2008-06-23,999-26-6968,S99973113,X41008339X,Mr.,Chad48,Frami345,,,2,asian,Other,1,Peabody  Massachusetts  US,349 Brekke Overpass,Unincorporated Vic,Victoria,25025.0,Cremorne,3821.0,-38.08301804,145.9226127,238853.69,349668.67,31534.0,0,,,,,,,,,,,,,,,,,,,
8b450451-40b6-fb14-f606-668fd7428b56,,,1943-12-03,2018-08-31,999-30-5473,S99961492,X37885222X,Mr.,Benjamin360,Bradtke547,,,1,white,Other,1,Wareham  Massachusetts  US,591 Graham Orchard,Alpine,Victoria,25017.0,Port Melbourne,3898.0,-37.066169,147.464799,104344.28,181786.21,723748.0,0,,,,,,,,,,,,,,,,,,,
72231f82-57bf-3730-66c5-5024f5993347,,,1971-10-08,,999-33-9157,S99964331,X60609267X,Mr.,Micheal721,Ferry570,,,2,asian,Other,1,Boxborough  Massachusetts  US,108 Blanda Ranch,Mornington Peninsula,Victoria,25027.0,East Melbourne,3916.0,-38.415199,145.050587,108557.8,62206.25,138550.0,0,,,,,,,,,,,,,,,,,,,
9f2975ee-3aad-9d43-8d2f-6698559a144d,,,1929-11-17,2008-09-23,999-66-7231,S99953717,X33329982X,Mrs.,Kindra525,Kiehn525,,Crist667,1,white,Other,2,Marion  Massachusetts  US,247 Hettinger Park Unit 34,Mount Alexander,Victoria,,East Melbourne,3463.0,-36.957983,144.05651,284724.97,721022.57,192423.0,0,,,,,,,,,,,,,,,,,,,
1efe401b-0dbb-6e1e-b057-35671b8071fc,,,1946-05-24,,999-68-3384,S99991886,X82166114X,Mrs.,Flora200,Veum823,,Crist667,1,black,Other,2,Taunton  Massachusetts  US,462 Ryan Walk,Buloke,Victoria,25021.0,Abbotsford,3527.0,-36.07096,143.241334,22150.06,1158434.15,20462.0,0,,,,,,,,,,,,,,,,,,,
3e9cf6fd-c1b2-dc94-eb16-1d7416442f48,,,1959-12-25,,999-46-2203,S99954822,X9889204X,Mr.,Austin578,Dickens475,,,1,white,Other,1,Melrose  Massachusetts  US,565 Gaylord Mall Apt 68,Swan Hill,Victoria,,East Melbourne,3596.0,-35.123806,143.327682,200371.67,663442.37,55843.0,0,,,,,,,,,,,,,,,,,,,
7b049ad5-dc4c-57ee-0871-f752574b3309,,,1964-08-09,,999-26-5137,S99966644,X77530191X,Mrs.,Tammie751,Schaefer657,,Boyer713,1,white,Other,2,Sturbridge  Massachusetts  US,477 Romaguera Approach Apt 15,Northern Grampians,Victoria,25027.0,Princes Hill,3392.0,-36.430131,142.677858,369061.73,1510353.54,30658.0,0,,,,,,,,,,,,,,,,,,,
6093d08f-f3a4-3c74-656a-c99a9baf6ad5,,,1968-09-04,,999-33-1024,S99994015,X68417360X,Mr.,Stephen891,Macejkovic424,,,1,white,Other,1,Windsor  Massachusetts  US,817 Denesik Lodge Unit 62,Yarra Ranges,Victoria,25013.0,South Wharf,3139.0,-37.814506,145.532666,50420.18,84641.05,62508.0,0,,,,,,,,,,,,,,,,,,,
f736d473-797b-4cf8-bb70-b7c8cee11bb7,,,1966-03-13,,999-28-6972,S99986956,X12823300X,Mr.,Weldon459,Cartwright189,,,1,black,Other,1,Newton  Massachusetts  US,935 Gorczany Walk Apt 57,East Gippsland,Victoria,25027.0,North Melbourne,3887.0,-37.757895,148.116641,479489.8,455298.64,110802.0,0,,,,,,,,,,,,,,,,,,,
d7fdaab4-19d9-52a8-996a-af1cf34d24b6,,,1963-09-22,,999-14-8686,S99982572,X62329601X,Mr.,Jaime666,Granados71,,,1,black,Other,1,Lima  Lima Province  PE,656 Baumbach Rue Suite 76,Loddon,Victoria,,Carlton,3517.0,-36.483116,143.886832,109201.52,22812.12,194220.0,0,,,,,,,,,,,,,,,,,,,
dd142a75-e739-fbd2-830f-3a5db54dfaa9,,,1929-11-17,2016-07-19,999-20-5449,S99964272,X28149622X,Ms.,Phyllis779,Beier427,,,2,white,Other,2,Chicopee  Massachusetts  US,405 Koch Drive Unit 43,Brimbank,Victoria,,Carlton,3023.0,-37.78272,144.770641,93454.27,948220.87,192423.0,0,,,,,,,,,,,,,,,,,,,
87442dd6-ed51-7116-9649-bfddde689978,,,1923-07-27,,999-71-6046,S99921583,X48735996X,Mrs.,Melody728,Wisozk929,,Hane680,1,white,Other,2,Lynn  Massachusetts  US,596 Howell Key Apt 51,Southern Grampians,Victoria,25025.0,Alphington,3315.0,-37.408371,141.687516,1518526.24,904349.78,90394.0,0,,,,,,,,,,,,,,,,,,,
cd8daacd-fa49-677a-e3e7-7b0623b04129,,,1929-11-17,2015-08-06,999-37-8853,S99913545,X27691499X,Mrs.,Betty470,Wilkinson796,,Braun514,,white,Other,2,Lowell  Massachusetts  US,343 Schuppe Manor Unit 33,Corangamite,Victoria,,Abbotsford,3266.0,-38.407094,143.133721,137010.03,1872279.92,192423.0,0,,,,,,,,,,,,,,,,,,,
71a76ce6-81cd-7437-42e9-ee21415daec2,,,1944-12-17,,999-57-1858,S99916740,X69648709X,Mrs.,Elana101,Nicolas769,,Hammes673,1,hawaiian,Other,2,Wakefield  Massachusetts  US,879 Christiansen Frontage road,Greater Bendigo,Victoria,25011.0,East Melbourne,3551.0,-36.78137,144.457937,786655.38,1069459.1,112087.0,0,,,,,,,,,,,,,,,,,,,
9cb2fb50-21db-4e45-bc8e-807095027bc8,,,1918-12-10,,999-44-4750,S99921922,X4470489X,Mrs.,Tawny381,Conn188,,Swift555,,white,Other,2,Worcester  Massachusetts  US,611 Stamm Village Suite 62,Pyrenees,Victoria,,Fitzroy North,3375.0,-37.424288,143.143621,1037819.89,1692293.37,84053.0,0,,,,,,,,,,,,,,,,,,,
8f2fd4ef-cdf8-dc59-ace1-a321e4320452,,,1971-12-16,,999-41-5023,S99923343,X6954584X,Mr.,Jorge Luis88,Villalobos491,,,1,black,Other,1,Puebla  Puebla  MX,386 Grimes Camp,East Gippsland,Victoria,25009.0,Fairfield,3891.0,-37.567684,149.538907,94074.01,75875.16,59247.0,0,,,,,,,,,,,,,,,,,,,
8423fd57-80f9-7f83-991d-af70b06e65ca,,,1914-12-05,1978-07-20,999-11-5429,S99924273,X4157744X,Mr.,John539,Rogahn59,,,2,black,Other,1,Waltham  Massachusetts  US,863 Fay Course,Sunshine Coast,Victoria,25003.0,Kensington,4552.0,-26.734305,152.766898,20597.12,1152489.27,2618.0,0,,,,,,,,,,,,,,,,,,,
98133d58-5368-0011-5bb7-bbed5c1a6ff9,,,1929-11-17,,999-86-1031,S99918648,X85777516X,Ms.,Monika509,Bergstrom287,,,2,white,Other,2,Worcester  Massachusetts  US,700 Purdy Gate Suite 70,Towong,Victoria,,St Kilda,3691.0,-36.027154,147.880991,102152.79,1141109.39,192423.0,0,,,,,,,,,,,,,,,,,,,
f2b46278-eb89-1d8d-b76a-3f15284e0343,,,1947-01-17,,999-51-3723,S99919611,X20558559X,Mr.,Stewart672,Kuhlman484,,,,asian,Other,1,Woburn  Massachusetts  US,487 Blanda Crossroad,Latrobe,Victoria,25025.0,Ripponlea,3824.0,-38.245649,146.16397,147653.17,528035.73,31534.0,0,,,,,,,,,,,,,,,,,,,
790467b8-8916-b9c3-4e90-84868ddde23b,,,1957-01-28,,999-97-1560,S99966029,X89767697X,Mrs.,Patrick786,Schuster709,,Zieme486,1,white,Other,2,Blackstone  Massachusetts  US,320 Langworth Rest,Southern Downs,Victoria,25017.0,Kensington,4380.0,-28.90901091,151.4470343,498892.0,165906.88,83069.0,0,,,,,,,,,,,,,,,,,,,
705c5e50-7f4a-bba3-83ce-6a5a448603ce,,,1946-11-15,,999-61-5258,S99914929,X22202533X,Mr.,Teddy976,Koelpin146,,,,white,Other,1,Boston  Massachusetts  US,578 Waters Ramp Apt 5,Wellington,Victoria,25005.0,Flemington,3858.0,-37.821756,146.576101,13116.41,245065.13,13401.0,0,,,,,,,,,,,,,,,,,,,
74467d72-23e3-a2df-1ce1-524542e8445b,,,1950-03-08,,999-87-7511,S99972829,X9060858X,Ms.,Maude482,Luettgen772,,,2,white,Other,2,Boston  Massachusetts  US,419 Mertz Parade Apt 89,Moyne,Victoria,25005.0,Princes Hill,3301.0,-38.118855,142.034141,532719.0,480574.5,39346.0,0,,,,,,,,,,,,,,,,,,,
70429793-fcfb-d3be-ca20-f1e137018807,,,1966-05-02,2022-12-13,999-68-3928,S99931826,X52591871X,Mrs.,Christina143,Kunze215,,Collier206,1,white,Aboriginal and Torres Strait Islander,2,Somerville  Massachusetts  US,463 Kreiger Well,Mansfield,Victoria,25017.0,Port Melbourne,3723.0,-36.894465,146.256507,513961.61,278968.63,46656.0,0,,,,,,,,,,,,,,,,,,,
314a6afd-84e6-6b56-9def-0c3f9be53c81,,,1926-03-03,2014-12-04,999-76-3629,S99951819,X77386148X,Mrs.,Arletha291,Satterfield305,,Altenwerth646,,white,Other,2,Boston  Massachusetts  US,1046 Blick Dam,Baw Baw,Victoria,25021.0,Fitzroy North,3833.0,-37.829347,146.077886,172062.88,1381164.86,284812.0,0,,,,,,,,,,,,,,,,,,,
0035259b-826c-fc71-ac53-0e3c7dc11695,,,1946-09-07,,999-33-9087,S99920407,X33449635X,Mrs.,Lindsay928,Langosh790,,VonRueden376,1,white,Other,2,Chelmsford  Massachusetts  US,102 McDermott Promenade Apt 8,Loddon,Victoria,,Fairfield,3575.0,-36.055725,144.159028,1082896.11,681238.6,57463.0,0,,,,,,,,,,,,,,,,,,,
b36b725e-c4f3-bd7d-6537-eb14bcdf3ccd,,,1949-11-23,,999-20-3449,S99914662,X71701448X,Ms.,Trisha327,Lowe577,,,2,black,Other,2,Northborough  Massachusetts  US,124 Ledner Arcade,East Gippsland,Victoria,25023.0,St Kilda East,3890.0,-37.566489,149.217216,353655.48,865854.73,137780.0,0,,,,,,,,,,,,,,,,,,,
e466a59c-179c-dc83-30ed-eb4b63acd980,,,1938-02-10,2005-08-05,999-30-3758,S99964211,X14846993X,Mr.,Ignacio928,Madrigal893,,,2,white,Other,1,Santiago de los Caballeros  Santiago  DO,300 Jacobi Plaza,Gannawarra,Victoria,25009.0,East Melbourne,3568.0,-35.809462,144.184089,50480.26,1550391.79,14630.0,0,,,,,,,,,,,,,,,,,,,
52a27b00-6ca9-b6db-2708-72a4f13fbc6a,,,1916-01-05,1997-11-19,999-86-7826,S99964907,X50268192X,Mr.,Earle679,Beier427,,,2,white,Other,1,Worcester  Massachusetts  US,129 Berge Haven Suite 31,Mount Alexander,Victoria,,Fitzroy North,3463.0,-36.957983,144.05651,604846.78,4936364.32,116300.0,0,,,,,,,,,,,,,,,,,,,
91688d4f-0383-9d27-c3f4-0e9e5612cd39,,,1956-03-23,,999-83-9467,S99970277,X85394762X,Mr.,Glenn0,Stamm704,,,1,white,Other,1,Harwich  Massachusetts  US,426 Blick Divide,Buloke,Victoria,25017.0,St Kilda,3527.0,-36.07096,143.241334,10406.89,248291.78,14204.0,0,,,,,,,,,,,,,,,,,,,
467784c2-7af6-0c40-6de4-a68945fa94d9,,,1963-05-31,,999-55-4476,S99989978,X70330800X,Mrs.,Selina302,Wisoky380,,Wilderman619,1,asian,Other,2,Barnstable  Massachusetts  US,997 Leuschke Estate Apt 30,Corangamite,Victoria,,Port Melbourne,3260.0,-38.209584,143.244766,153431.97,14425.49,114270.0,0,,,,,,,,,,,,,,,,,,,
411d4187-01d5-a628-980d-22cf83628d0d,,,1924-08-17,,999-55-1397,S99920336,X65559574X,Mrs.,Sharell873,Bode78,,Stanton715,1,white,Other,2,Taunton  Massachusetts  US,340 Altenwerth Parade,Sunshine Coast,Victoria,,Fitzroy North,4551.0,-26.828067,153.088435,165871.91,539330.14,189212.0,0,,,,,,,,,,,,,,,,,,,
8cb3bd5f-ea65-714b-2aa4-13c82b456e40,,,1942-08-09,,999-29-8468,S99918387,X43756823X,Mrs.,Dorris197,Schmitt836,,Kuhn96,1,white,Other,2,Gardner  Massachusetts  US,448 Reichert Knoll,Mornington Peninsula,Victoria,,Albert Park,3936.0,-38.326447,145.007626,958551.83,169929.76,85453.0,0,,,,,,,,,,,,,,,,,,,
d50753fe-e1d6-7dc8-6c8b-e6c93fc82801,,,1949-04-11,,999-13-1750,S99925950,X35019657X,Mr.,Shelby741,Haag279,,,1,white,Aboriginal and Torres Strait Islander,1,North Brookfield  Massachusetts  US,332 Hane Tunnel,Alpine,Victoria,25027.0,Richmond,3739.0,-36.641016,146.864194,126036.53,205660.65,49009.0,0,,,,,,,,,,,,,,,,,,,
d01840c5-b558-1114-2fde-60bbe28930b4,,,1938-02-10,2002-09-02,999-44-7429,S99999302,X4774566X,Mr.,Joaquín233,Moreno82,,,,white,Other,1,Panama City  Panama  PA,843 Auer Landing Unit 12,Mount Alexander,Victoria,25009.0,Carlton North,3463.0,-36.957983,144.05651,16026.03,239033.63,14630.0,0,,,,,,,,,,,,,,,,,,,
efb0dff4-519f-96f8-4408-418fad9d9eed,,,1943-06-08,,999-29-8796,S99988640,X28263285X,Mr.,Jamey282,Ebert178,,,1,white,Other,1,New Bedford  Massachusetts  US,808 Weimann Way,Clarence,Victoria,25017.0,Kensington,7024.0,-42.950412,147.512182,18803.12,364828.92,11989.0,0,,,,,,,,,,,,,,,,,,,
72d85c6a-da59-d6a9-099b-080a51430c21,,,1969-10-11,,999-43-4901,S99965378,X3430151X,Mrs.,Jacquline932,Corwin846,,Hills818,,white,Other,2,Marlborough  Massachusetts  US,914 Greenholt Terrace,Horsham,Victoria,25017.0,Clifton Hill,3401.0,-36.881534,141.940832,24043.39,1134111.33,14807.0,0,,,,,,,,,,,,,,,,,,,
27930837-29bd-4b7a-4453-6c217b749c6b,,,1940-11-15,,999-32-7302,S99950366,X47171046X,Mrs.,Albertine688,Swift555,,Cartwright189,,white,Other,2,Marshfield  Massachusetts  US,285 Fisher Ferry,Baw Baw,Victoria,25027.0,St Kilda,3825.0,-37.978862,146.342932,6161106.61,592293.8,56478.0,0,,,,,,,,,,,,,,,,,,,
abb9deaa-4f70-7220-c666-1b010cedf39c,,,1953-07-17,,999-33-9430,S99917940,X80921902X,Mr.,Paris331,Beatty507,,,1,white,Other,1,Raynham  Massachusetts  US,1022 Ritchie Junction,Loddon,Victoria,25017.0,Burnley,3518.0,-36.474937,143.586215,61795.16,104003.67,71601.0,0,,,,,,,,,,,,,,,,,,,
89f286ac-feec-289b-edc3-a2d5e8afd0cd,,,1956-10-07,,999-43-3106,S99927901,X75713594X,Mr.,Douglass930,Baumbach677,,,2,asian,Other,1,Daegu  Daegu  KR,545 Sipes Gardens,Greater Bendigo,Victoria,25013.0,Ripponlea,3570.0,-36.515303,144.28053,444388.6,73173.01,42491.0,0,,,,,,,,,,,,,,,,,,,
60ed94f6-ac56-699a-1f06-51056e13899c,,,1954-05-02,,999-13-2051,S99990553,X57980025X,Mr.,George991,Parisian75,,,,white,Other,1,Fall River  Massachusetts  US,484 Towne Gardens Unit 34,Corangamite,Victoria,25021.0,South Melbourne,3265.0,-38.178237,142.952372,155495.87,56259.07,93696.0,0,,,,,,,,,,,,,,,,,,,
4787dd9c-f2dc-fef0-4528-fc2da535ec2f,,,1968-01-15,,999-58-4090,S99982180,X38364293X,Ms.,Evan94,Simonis280,,,2,white,Other,2,Boston  Massachusetts  US,326 Langworth Neck Unit 33,Colac Otway,Victoria,,West Melbourne,3233.0,-38.679417,143.671777,1027411.55,460151.57,96503.0,0,,,,,,,,,,,,,,,,,,,
9c84396e-eb68-7318-4031-8ce3fe19dc08,,,1951-02-04,,999-67-8775,S99939906,X51367622X,Mrs.,Madison727,Gleason633,,Schowalter414,,white,Other,2,Northampton  Massachusetts  US,464 Maggio Pathway Unit 89,Northern Grampians,Victoria,25017.0,St Kilda,3384.0,-37.04625762,142.8740132,287666.08,768467.05,386632.0,0,,,,,,,,,,,,,,,,,,,
0fb34675-dbd3-64d8-4203-0c8e1351ff3b,,,1938-02-10,2019-06-09,999-16-5123,S99943658,X11334424X,Mr.,Santiago500,Santacruz647,,,1,white,Other,1,Havana  Havana  CU,1048 Harris Path,Mitchell,Victoria,25009.0,Middle Park,3658.0,-37.241401,145.111854,24223.4,1318182.1,14630.0,0,,,,,,,,,,,,,,,,,,,
60279fd1-5bfb-852f-6bc9-4ab410bac22d,,,1916-01-05,2014-11-02,999-66-7574,S99942608,X7291340X,Mr.,Lowell343,Mayert710,,,,white,Other,1,Malden  Massachusetts  US,528 Sawayn Common Apt 80,Warrnambool,Victoria,,St Kilda East,3268.0,-38.535802,142.908911,189944.58,505482.12,116300.0,0,,,,,,,,,,,,,,,,,,,
8c7e60f3-def7-5339-5180-a7067bbea901,,,1939-08-21,2022-09-16,999-47-1884,S99981319,X63922631X,Mr.,Nelson403,Schulist381,,,2,white,Other,1,Hopedale  Massachusetts  US,931 Stracke Spur,East Gippsland,Victoria,25009.0,St Kilda,3888.0,-37.39051,148.660943,290017.3,1605066.29,6582.0,0,,,,,,,,,,,,,,,,,,,
f7324128-54de-defb-6fd6-c25cb7f3237c,,,1914-12-05,1976-03-29,999-80-3969,S99961635,X36494848X,Mr.,Anderson154,Torphy630,,,1,black,Other,1,Beverly  Massachusetts  US,858 Anderson Branch,Bass Coast,Victoria,25003.0,St Kilda East,3988.0,-38.313447,145.811863,393931.88,649433.58,2618.0,0,,,,,,,,,,,,,,,,,,,
8ec6ff20-177a-2dcb-e58f-fd1c07c42aea,,,1965-06-14,,999-62-9338,S99918428,X19912030X,Mrs.,Clementina782,Weber641,,Willms744,,white,Other,2,Mashpee  Massachusetts  US,157 Schulist Bridge,Unincorporated Vic,Victoria,25023.0,Fitzroy North,3833.0,-37.93840381,145.8366168,701896.22,71905.63,40230.0,0,,,,,,,,,,,,,,,,,,,
bb08bc87-aa42-d51e-1295-bce34bf8b1e4,,,1938-02-10,2011-09-13,999-13-6203,S99915093,X2857470X,Mr.,Gregorio366,Vallejo39,,,2,white,Other,1,Carolina  Puerto Rico  PR,896 Nader Trailer,Mildura,Victoria,25009.0,Fitzroy North,3494.0,-34.486406,142.348315,14882.63,476089.74,14630.0,0,,,,,,,,,,,,,,,,,,,
686fde42-acce-d718-d855-eb92b5d38174,,,1962-10-02,2017-01-06,999-84-1778,S99937881,X76765166X,Mr.,Shad704,Effertz744,,,2,white,Other,1,Boston  Massachusetts  US,199 Reinger Stravenue,Wangaratta,Victoria,,Carlton North,3675.0,-36.565078,146.266835,188424.98,128029.7,75548.0,0,,,,,,,,,,,,,,,,,,,
ab393b0b-c42f-5acc-2759-6eec56b1d18d,,,1919-01-07,2007-05-13,999-24-5041,S99965876,X82536080X,Mrs.,Lan153,Miller503,,Hilll811,,white,Aboriginal and Torres Strait Islander,2,Middleton  Massachusetts  US,439 Cummings Throughway Unit 40,Horsham,Victoria,,Albert Park,3401.0,-36.881534,141.940832,1066727.05,368439.78,80425.0,0,,,,,,,,,,,,,,,,,,,
3af5253c-943a-0dde-1c52-3284d8bf5569,,,1938-02-10,,999-98-2175,S99928084,X53173848X,Mr.,Cristobal567,Sanches349,,,1,white,Other,1,San Salvador  El Salvador  SV,260 Kemmer Well,Gannawarra,Victoria,25009.0,Collingwood,3579.0,-35.767974,143.769445,23995.47,520445.34,14630.0,0,,,,,,,,,,,,,,,,,,,
6f0a8b08-7014-2954-447a-884da50015ac,,,1953-07-03,,999-20-4263,S99957254,X55361930X,Mr.,Jefferson174,Toy286,,,1,other,Other,1,New Bedford  Massachusetts  US,416 Denesik Way Unit 3,Moyne,Victoria,,St Kilda West,3273.0,-37.981249,142.660643,118796.56,125548.64,125303.0,0,,,,,,,,,,,,,,,,,,,
82e389df-7bc1-33c5-c030-7a5ffebed6ed,,,1919-01-07,2020-12-18,999-18-9321,S99988073,X46808084X,Mrs.,Sixta311,Heathcote539,,Boyle917,,white,Other,2,Middleborough Center  Massachusetts  US,628 Weber Knoll,Latrobe,Victoria,,Fitzroy North,3840.0,-38.245215,146.424457,812584.97,269970.32,80425.0,0,,,,,,,,,,,,,,,,,,,
