"id_patient","redcap_repeat_instrument","redcap_repeat_instance","birthdate_patient","deathdate_patient","ssn_patient","drivers_patient","passport_patient","prefix_patient","first_patient","last_patient","suffix_patient","maiden_patient","marital_patient","race_patient","ethnicity_patient","gender_patient","birthplace_patient","address_patient","city_patient","state_patient","fips_patient","county_patient","zip_patient","lat_patient","lon_patient","healthcare_expenses_patient","healthcare_coverage_patient","income_patient","patients_complete","start_medication","stop_medication","payer_medication","encounter_medication","code_medication","description_medication","base_cost_medication","payer_coverage_medication","dispenses_medication","totalcost_medication","reasoncode_medication","reasondescription_medication","medications_complete","start_condition","stop_condition","encounter_condition","code_condition","description_condition","conditions_complete"
"0a31d233-7478-b4e3-2000-47775f7d7454",NA,NA,1956-08-12,NA,"999-52-8338","S99936956","X46862985X","Mrs.","Rosalia943","Cruz300",NA,"Loera89",1,"white","Other",2,"Carolina  Puerto Rico  PR","871 Bergnaum Trail Unit 81","Campaspe","Victoria",6029,"South Yarra",3621,-36.206055,144.961183,414884.82,999032.24,34461,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0a31d233-7478-b4e3-2000-47775f7d7454","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-08-24,NA,"445dae09-09e5-e6fb-deba-816aa4eb5445",44054006,"Diabetes mellitus type 2 (disorder)",0
"0a8725b4-9936-ff53-73e1-c9aa07d9a971",NA,NA,1944-06-11,NA,"999-47-6130","S99967391","X21091867X","Mr.","Mario764","Araña824",NA,NA,1,"white","Other",1,"Lima  Lima Province  PE","784 Zemlak Rest","Yarra Ranges","Victoria",6037,"Carlton North",3799,-37.727566,145.818512,329121.45,762813.26,70477,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0a8725b4-9936-ff53-73e1-c9aa07d9a971","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-08-26,NA,"9e18f29b-b522-c1a5-5f59-45a1999828d9",44054006,"Diabetes mellitus type 2 (disorder)",0
"0b2a8731-0e54-6185-767b-bbb1385bfb9b",NA,NA,1989-09-21,NA,"999-73-4094","S99957291","X66606875X","Mr.","Alejandro916","Crespo500",NA,NA,1,"white","Other",1,"Bogota  Bogota  CO","785 Robel Ville Suite 18","Towong","Victoria",6071,"St Kilda West",3691,-36.027154,147.880991,7732.02,161234.18,4679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0b2a8731-0e54-6185-767b-bbb1385bfb9b","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-11-08,NA,"09ed4f4b-4cc5-1d5c-9f6b-3ff9617dc2f2",44054006,"Diabetes mellitus type 2 (disorder)",0
"0b5e32de-215a-eecd-c824-72531c54d704",NA,NA,2014-11-29,NA,"999-41-6272",NA,NA,NA,"Byron202","Schaefer657",NA,NA,NA,"white","Other",1,"Porterville  California  US","1051 Nikolaus Trailer Unit 19","South Gippsland","Victoria",6065,"Cremorne",3953,-38.460127,145.995174,30757.21,36667.02,66401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0b5e32de-215a-eecd-c824-72531c54d704","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-23,NA,"9ab19f90-ebbd-42f6-153e-6b8f904c8a67",44054006,"Diabetes mellitus type 2 (disorder)",0
"0b7e3c23-2277-3fa8-9d4e-3a6b733af305",NA,NA,1978-01-04,NA,"999-25-4979","S99976435","X18029746X","Mrs.","Temika453","Weissnat378",NA,"Schoen8",1,"white","Other",2,"Berkeley  California  US","810 Powlowski Heights Suite 63","Melbourne","Victoria",6037,"Burnley",3006,-37.82528675,144.9520744,658417.86,1466649.01,63093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0b7e3c23-2277-3fa8-9d4e-3a6b733af305","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-09 13:59:52,2018-01-09 13:59:52,"0133f751-9229-3cfd-815f-b6d4979bdd6a","61324fd0-3636-c493-338f-274cb753c448",860975,"24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet",44.43,0,1,44.43,44054006,"Diabetes mellitus type 2 (disorder)",0,NA,NA,NA,NA,NA,NA
