"id_patient","redcap_repeat_instrument","redcap_repeat_instance","birthdate_patient","deathdate_patient","ssn_patient","drivers_patient","passport_patient","prefix_patient","first_patient","last_patient","suffix_patient","maiden_patient","marital_patient","race_patient","ethnicity_patient","gender_patient","birthplace_patient","address_patient","city_patient","state_patient","fips_patient","suburb_patient","zip_patient","lat_patient","lon_patient","healthcare_expenses_patient","healthcare_coverage_patient","income_patient","patients_complete","start_medication","stop_medication","payer_medication","encounter_medication","code_medication","description_medication","base_cost_medication","payer_coverage_medication","dispenses_medication","totalcost_medication","reasoncode_medication","reasondescription_medication","medications_complete","start_condition","stop_condition","encounter_condition","code_condition","description_condition","conditions_complete"
"0a24f8a2-4128-bfc0-5d93-ffc2d4a0d95e",NA,NA,1994-01-26,NA,"999-49-8646","S99961376","X53744520X","Ms.","Catalina187","Chapa957",NA,NA,2,"white","Other",2,"San Juan  Puerto Rico  PR","745 Weissnat Orchard Apt 19","Bundaberg","Victoria",6029,"West Melbourne",4660,-25.189298,152.300968,124043.13,376289.61,69384,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0a24f8a2-4128-bfc0-5d93-ffc2d4a0d95e","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-03-09 16:20:51,NA,"e03e23c9-4df1-3eb6-a62d-f70f02301496","d26945f4-8fed-0113-c473-120436054b5d",312961,"Simvastatin 20 MG Oral Tablet",210.93,0,390,82262.7,NA,NA,0,NA,NA,NA,NA,NA,NA
"0a24f8a2-4128-bfc0-5d93-ffc2d4a0d95e","medications",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-03-09 16:20:51,NA,"e03e23c9-4df1-3eb6-a62d-f70f02301496","d26945f4-8fed-0113-c473-120436054b5d",866412,"24 HR metoprolol succinate 100 MG Extended Release Oral Tablet",129.94,0,390,50676.6,NA,NA,0,NA,NA,NA,NA,NA,NA
"0a24f8a2-4128-bfc0-5d93-ffc2d4a0d95e","medications",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-03-09 16:20:51,NA,"e03e23c9-4df1-3eb6-a62d-f70f02301496","d26945f4-8fed-0113-c473-120436054b5d",705129,"Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray",587.09,0,390,228965.1,NA,NA,0,NA,NA,NA,NA,NA,NA
"0a24f8a2-4128-bfc0-5d93-ffc2d4a0d95e","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-03-03,NA,"d26945f4-8fed-0113-c473-120436054b5d",414545008,"Ischemic heart disease (disorder)",0
"0a31d233-7478-b4e3-2000-47775f7d7454",NA,NA,1956-08-12,NA,"999-52-8338","S99936956","X46862985X","Mrs.","Rosalia943","Cruz300",NA,"Loera89",1,"white","Other",2,"Carolina  Puerto Rico  PR","871 Bergnaum Trail Unit 81","Campaspe","Victoria",6029,"Fairfield",3621,-36.206055,144.961183,414884.82,999032.24,34461,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0a31d233-7478-b4e3-2000-47775f7d7454","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-13 07:18:39,NA,"734afbd6-4794-363b-9bc0-6a3981533ed5","604bff37-b986-874d-9fda-35430567f8f1",309362,"Clopidogrel 75 MG Oral Tablet",1803.75,1443,149,268758.75,NA,NA,0,NA,NA,NA,NA,NA,NA
"0a31d233-7478-b4e3-2000-47775f7d7454","medications",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-13 07:18:39,NA,"734afbd6-4794-363b-9bc0-6a3981533ed5","604bff37-b986-874d-9fda-35430567f8f1",312961,"Simvastatin 20 MG Oral Tablet",333.72,266.98,149,49724.28,NA,NA,0,NA,NA,NA,NA,NA,NA
"0a31d233-7478-b4e3-2000-47775f7d7454","medications",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-13 07:18:39,NA,"734afbd6-4794-363b-9bc0-6a3981533ed5","604bff37-b986-874d-9fda-35430567f8f1",866412,"24 HR metoprolol succinate 100 MG Extended Release Oral Tablet",129.94,103.95,149,19361.06,NA,NA,0,NA,NA,NA,NA,NA,NA
"0a31d233-7478-b4e3-2000-47775f7d7454","medications",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-13 07:18:39,NA,"734afbd6-4794-363b-9bc0-6a3981533ed5","604bff37-b986-874d-9fda-35430567f8f1",705129,"Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray",76.35,61.08,149,11376.15,NA,NA,0,NA,NA,NA,NA,NA,NA
"0a31d233-7478-b4e3-2000-47775f7d7454","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-06,NA,"604bff37-b986-874d-9fda-35430567f8f1",414545008,"Ischemic heart disease (disorder)",0
"000a998e-fc9b-f146-f3de-1727d2386366",NA,NA,1967-10-24,NA,"999-51-9785","S99938479","X67900575X","Mr.","Louis204","Weber641","PhD",NA,NA,"asian","Other",1,"Baldwin Park  California  US","580 Schinner Burg","Nillumbik","Victoria",6085,"Balaclava",3775,-37.642852,145.365993,245340.33,1251663.19,198439,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000a998e-fc9b-f146-f3de-1727d2386366","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02 13:17:27,2018-05-08 13:17:27,"26aab0cd-6aba-3e1b-ac5b-05c8867e762c","9cc2d88c-1a16-74a9-7cb9-e58e9d54f1ed",310798,"Hydrochlorothiazide 25 MG Oral Tablet",0.95,0,4,3.8,59621000,"Essential hypertension (disorder)",0,NA,NA,NA,NA,NA,NA
"000a998e-fc9b-f146-f3de-1727d2386366","medications",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02 13:17:27,2018-05-08 13:17:27,"26aab0cd-6aba-3e1b-ac5b-05c8867e762c","9cc2d88c-1a16-74a9-7cb9-e58e9d54f1ed",209387,"Acetaminophen 325 MG Oral Tablet [Tylenol]",260.78,0,3,782.34,NA,NA,0,NA,NA,NA,NA,NA,NA
